id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37348417,AmstelStudio 1,45661487,Floris,,De Pijp - Rivierenbuurt,52.34811,4.90791,Private room,158,5,4,2022-06-04,3.00,2,55,4,0363 8F3C A2D3 0A88 E76D
37358259,"Luxury apartment near: RAI, Center and Vondelpark",50369989,Derek,,Zuid,52.34766,4.85982,Entire home/apt,135,2,0,,,1,0,0,0363 58E3 E622 C90C 0CA7
37359059,Studio - own entrance-15 min. metro to cntr,94606780,Nicole,,Bijlmer-Oost,52.31835,4.9898,Private room,55,2,43,2022-01-01,1.43,1,0,27,0363 207C 0DD2 C582 549F
37378443,Duplex + rooftop /  Westerpark,47158198,Adelle,,Westerpark,52.38308,4.87543,Entire home/apt,240,5,15,2022-03-20,0.47,1,6,5,0363 4F51 6E01 8F68 7210
37386447,Cozy room in renovated apartment with garden,253596222,Daniel,,De Baarsjes - Oud-West,52.37092,4.85316,Private room,78,3,40,2022-05-22,1.19,3,329,12,036305CB9CA48E24D3EF
37412883,Cute and cosy ground floor well designed flat,9825301,Lucia,,Oostelijk Havengebied - Indische Buurt,52.36168,4.94256,Entire home/apt,88,5,1,2019-09-10,0.03,1,0,0,0363 DA60 9E83 A524 ECC7
37452579,"Modern studio, 35m2 on a perfect spot, close to CS",180553392,Peter,,Centrum-West,52.38122,4.89092,Entire home/apt,105,2,17,2021-09-04,0.50,1,0,6,0363 2E93 879E 213F 87E9
37493556,RoomWest Double with ensuite bathroom,281337057,RoomWest,,De Baarsjes - Oud-West,52.37182,4.87157,Hotel room,143,2,53,2022-05-20,1.55,2,5,10,0363 3C78 0B3D BA3E 35B7
37507709,Spacious appartment in popular east,3592,Rhijja,,Oostelijk Havengebied - Indische Buurt,52.35863,4.93991,Entire home/apt,129,3,1,2019-09-19,0.03,1,0,0,0363 9AF7 EC3F 85B4 9ECB
37510618,"Light, airy apartment with two balconies.",277359886,Flora,,Oud-Oost,52.36567,4.93111,Entire home/apt,140,14,9,2022-05-13,0.27,1,4,4,0363 8E54 B463 A29A AE32
37517388,Cozy apartment in the heart of Amsterdam,283181866,Arnaud,,Centrum-Oost,52.35951,4.89508,Entire home/apt,133,5,9,2021-08-23,0.27,1,0,3,0363 00B9 E44C C2CB 29E6
37528056,Peacefull appartement nearby Amsterdam City Centre,283388317,Babette,,Bos en Lommer,52.38527,4.85722,Entire home/apt,150,4,5,2021-10-23,0.17,1,0,2,0363 4D01 4ECD DFDF A0B0
37554677,"Luxury Apartment ""Anne"" Amsterdam",198405490,Suzanne,,Centrum-West,52.37446,4.88242,Shared room,326,7,8,2022-03-13,0.25,8,19,1,0365 C8BC DB3C B7F8 476B
37576592,City Centre Apt | Modernised | Family Friendly!,12076328,Karanne,,Centrum-Oost,52.36343,4.88538,Private room,307,2,28,2022-05-29,0.90,1,250,19,0363 17FE F8CA DA53 EBCB
37585995,"Stylish typical ‘North’ house, big garden, free P",2117385,Mijntje,,Noord-West,52.41953,4.89847,Entire home/apt,130,3,10,2022-04-18,0.29,1,116,7,0363 148B 1E65 4559 BF4A
37590988,Amstel studio 2,45661487,Floris,,De Pijp - Rivierenbuurt,52.34769,4.90816,Private room,220,3,1,2022-04-17,0.60,2,83,1,03638F3CA2D3OA88E76D
37591658,Newly renovated apartment in Amsterdam-Center/East,18079137,Iris,,Oud-Oost,52.35345,4.91254,Entire home/apt,150,3,5,2021-10-23,0.18,1,0,4,0363 2AA9 4482 FCB5 0512
37595681,Private apartment close to city centre,194127289,John,,Westerpark,52.37987,4.86864,Entire home/apt,130,2,6,2022-03-20,0.18,1,6,1,0363 04CE 1733 A05E 93CA
37614789,Nice and quiet apartment in A'dam East,53070337,Antonius,,Oostelijk Havengebied - Indische Buurt,52.36069,4.9412,Entire home/apt,110,6,3,2021-12-02,0.10,1,0,2,0363 F7E4 4AC7 9817 ED81
37643572,"Lake view artist atelier/studio, at the citybeach.",46433878,Nicole,,IJburg - Zeeburgereiland,52.35246,5.01017,Private room,75,3,9,2020-01-01,0.27,2,0,0,0363 55A1 D45C 0732 D6EB
37645132,170M2 Apartm. JACUZZI & SteamRoon Center Amsterdam,265970789,Ronald,,Centrum-Oost,52.3687,4.92987,Entire home/apt,295,4,3,2020-01-03,0.09,1,0,0,0363 AFA3 9807 7BB3 D9B6
37680995,Cozy 2 bedroom family home w/ free parking,3308880,Tristan,,Geuzenveld - Slotermeer,52.372143,4.820654,Entire home/apt,393,2,0,,,1,15,0,0363 54A7 4EC8 744C 56BE
37732527,"Big Bedroom With Private Bathroom,good atmospheric",285227821,Isabella,,Centrum-Oost,52.36197,4.90547,Private room,110,2,18,2022-05-04,0.53,2,55,6,0363 A4AF E4CA 27F3 B756
37762974,Hollands dijkhuisje in Amsterdam Noord,18184896,Marit,,Oud-Noord,52.39017,4.93538,Entire home/apt,171,2,4,2019-09-08,0.12,3,0,0,0363 CB66 7384 CC49 47FC
37799561,Apartment in 'De Pijp' with a view on the Amstel!,286058994,Faber,,De Pijp - Rivierenbuurt,52.35261,4.90795,Entire home/apt,86,2,51,2022-05-24,1.52,1,24,25,Exempt
37804394,Luxurious Cozy Studio | Edge Of City Center,286123803,Lida,,Oostelijk Havengebied - Indische Buurt,52.366253,4.934817,Private room,101,1,110,2022-05-29,3.23,2,1,43,0363 D6BF D4F6 E95D E06A
37805480,Luxurious Spacious Studio | Edge Of City Center,286123803,Lida,,Oostelijk Havengebied - Indische Buurt,52.366253,4.934817,Private room,96,1,122,2022-05-22,3.59,2,1,47,0363 D6BF D4F6 E95D E06A
37806154,Familyhouse Amsterdam near centre with lakeview,230959164,Guido,,Geuzenveld - Slotermeer,52.37115,4.81976,Entire home/apt,200,6,3,2021-10-23,0.29,1,48,3,0363 F95A A43B 1B7F E30D
37834161,Apt with rooftop terrace close to Vondelpark ~95m2,3648688,Rogier,,Zuid,52.35284,4.84703,Entire home/apt,230,6,0,,,1,37,0,0363ADE61E04E713E6DE
37869132,★COSY FAMILY APARTMENT ★ GARDEN ★ 2 SWEET CATS ★,75237279,Margreet,,Watergraafsmeer,52.35405,4.92789,Entire home/apt,185,3,1,2019-10-23,0.03,1,0,0,0363 6482 8965 792C A79C
37937149,Spacious two story apartment near city center,287463018,Aris,,Oud-Oost,52.35281,4.9221,Entire home/apt,160,5,9,2022-03-12,0.28,1,0,3,0363 5975 D9E1 710F C3F9
37957530,"Penthouse in front of the mill, midst Amsterdam",287767349,Simone,,Oud-Oost,52.36515,4.92487,Entire home/apt,157,2,8,2020-02-25,0.24,1,0,0,0363 F2D4 4FBF 948C 32A0
37959744,Magic Place.,91405069,Sergei,,De Pijp - Rivierenbuurt,52.35677,4.89835,Entire home/apt,165,21,3,2022-01-06,0.30,1,92,3,0363 D3C7 5BB1 55B7 FF74
37964946,Comfortable family house 20 mins from center,287829575,Marja,,De Aker - Nieuw Sloten,52.34216,4.80948,Entire home/apt,150,3,3,2020-03-16,0.10,1,12,0,036341EF81F9CC09A254
37977698,Violet 5 min to the City Center,2368759,Angie,,Watergraafsmeer,52.34049,4.92086,Entire home/apt,132,10,6,2021-01-28,0.18,1,0,0,0363 0955 E7B3 F8FB 7450
37986740,Bright City Center Apt with Canal View | Private,866573,Loredana,,De Baarsjes - Oud-West,52.36924,4.87012,Entire home/apt,235,2,2,2021-10-18,0.06,1,0,1,0363 2923 4AE8 6DF3 0532
37995064,Spacious apartment with private garden,145367114,Rogier,,Zuid,52.34365,4.86553,Entire home/apt,300,12,4,2022-04-30,0.13,1,193,1,0363 9932 04B0 C906 8B11
38012872,Beautiful Studio by the Amstel,101498497,Agnesa,,Oud-Oost,52.35374,4.91188,Entire home/apt,121,5,43,2022-06-05,1.36,2,73,38,0363 ADA5 CA1C C715 7804
38033435,Apartment in de Pijp area Amsterdam city centre,19127218,Anika,,De Pijp - Rivierenbuurt,52.35135,4.88814,Entire home/apt,287,2,4,2020-06-13,0.12,1,0,0,0363 A271 69E9 2772 49AB
